first_cityid,first_city,second_cityid,second_city,poets_poet_name,poetid
2,Athens,5,Delos,-es,18
2,Athens,29,Isthmia,Alkimakhos,35
2,Athens,28,Marathon,Alkimakhos,35
2,Athens,27,Nemea,Alkimakhos,35
27,Nemea,29,Isthmia,Alkimakhos,35
27,Nemea,28,Marathon,Alkimakhos,35
28,Marathon,29,Isthmia,Alkimakhos,35
2,Athens,13,Sicyon,Ariphron,23
13,Sicyon,16,Helicon,Bakkhiadas,11
2,Athens,6,Chios,Dion,61
2,Athens,6,Chios,Dionysius,62
19,Tarentum,30,Delphi,Euangelos,43
30,Delphi,32,Elis,Eumelos,44
2,Athens,10,Sparta,Exekestides,42
2,Athens,30,Delphi,Exekestides,42
10,Sparta,30,Delphi,Exekestides,42
2,Athens,6,Chios,Ion ,55
3,Thebes,30,Delphi,Khairis,51
2,Athens,30,Delphi,Khairis,51
2,Athens,3,Thebes,Khairis,51
33,Macedonia,34,Thessaly,Krateuas,20
2,Athens,31,Hermione,Kydides,47
6,Chios,7,Leontini,Licymnius,3
2,Athens,7,Leontini,Licymnius,3
2,Athens,6,Chios,Licymnius,3
36,Smyrna,44,Magnesia-ad-Sipylum,Magnes,52
36,Smyrna,43,Sardis,Magnes,52
43,Sardis,44,Magnesia-ad-Sipylum,Magnes,52
1,Melos,2,Athens,Melanippides,1
1,Melos,33,Macedonia,Melanippides,1
2,Athens,33,Macedonia,Melanippides,1
2,Athens,30,Delphi,Moskhos,49
11,Ephesus,20,Colophon,Philoxenus of Cythera,24
11,Ephesus,19,Tarentum,Philoxenus of Cythera,24
11,Ephesus,18,Syracuse,Philoxenus of Cythera,24
11,Ephesus,35,Cythera,Philoxenus of Cythera,24
2,Athens,20,Colophon,Philoxenus of Cythera,24
2,Athens,19,Tarentum,Philoxenus of Cythera,24
2,Athens,18,Syracuse,Philoxenus of Cythera,24
2,Athens,11,Ephesus,Philoxenus of Cythera,24
2,Athens,35,Cythera,Philoxenus of Cythera,24
18,Syracuse,20,Colophon,Philoxenus of Cythera,24
18,Syracuse,19,Tarentum,Philoxenus of Cythera,24
18,Syracuse,35,Cythera,Philoxenus of Cythera,24
19,Tarentum,20,Colophon,Philoxenus of Cythera,24
19,Tarentum,35,Cythera,Philoxenus of Cythera,24
20,Colophon,35,Cythera,Philoxenus of Cythera,24
2,Athens,8,Mytilene,Phrynis,5
2,Athens,22,Selymbria,Polyidus,26
3,Thebes,5,Delos,Pronomus,2
3,Thebes,4,Chalcis,Pronomus,2
4,Chalcis,5,Delos,Pronomus,2
2,Athens,5,Delos,Pronomus,2
2,Athens,4,Chalcis,Pronomus,2
2,Athens,3,Thebes,Pronomus,2
12,Selinus,15,Rhegium,Telestes,7
12,Selinus,14,Locri,Telestes,7
12,Selinus,13,Sicyon,Telestes,7
2,Athens,15,Rhegium,Telestes,7
2,Athens,14,Locri,Telestes,7
2,Athens,13,Sicyon,Telestes,7
2,Athens,12,Selinus,Telestes,7
13,Sicyon,15,Rhegium,Telestes,7
13,Sicyon,14,Locri,Telestes,7
14,Locri,15,Rhegium,Telestes,7
3,Thebes,30,Delphi,Thespis,45
9,Miletus,11,Ephesus,Timotheus,6
9,Miletus,10,Sparta,Timotheus,6
9,Miletus,33,Macedonia,Timotheus,6
2,Athens,11,Ephesus,Timotheus,6
2,Athens,10,Sparta,Timotheus,6
2,Athens,33,Macedonia,Timotheus,6
2,Athens,9,Miletus,Timotheus,6
10,Sparta,11,Ephesus,Timotheus,6
10,Sparta,33,Macedonia,Timotheus,6
11,Ephesus,33,Macedonia,Timotheus,6
